verb,3s preterit,3pl preterit,3s perfect,3pl perfect
-kaktia,kikaktij,kikaktijket,kikaktijtuk,kikaktijtiwit
-kajkayawa,kikajkayaw(ki) / kikajkayaj(ki),kikajkayawket / kikajkayajket,kikajkayawtuk / kikajkayajtuk,kikajkayawtiwit / kikajkayajtiwit
-kawaltia,kikawaltij,kikawaltijket,kikawaltijtuk,kikawaltijtiwit
kawilia,kawilij,kawilijket,kawilijtuk,kawilijtiwit
-kalakia,kikalakij,kikalakijket,kikalakijtuk,kikalakijtiwit
-kalyutia,kikalyutij,kikalyutijket,kikalyutijtuk,kikalyutijtiwit
-kamakawa,kikamakaw(ki) / kikamakaj(ki),kikamakawket / kikamakajket,kikamakawtuk / kikamakajtuk,kikamakawtiwit / kikamakajtiwit
kamawaki,kamawakik,kamawakiket,kamawaktuk,kamawaktiwit
-kamapijpi,kikamapijpij,kikamapijpijket,kikamapijpijtuk,kikamapijpijtiwit
-kamapiya,kikamapishki / kikamapiyak,kikamapishket / kikamapiyaket,kikamapishtuk / kikamapiyatuk,kikamapishtiwit / kikamapiyatiwit
-kamaketza,kikamaketzki / kikamaketzak,kikamaketzket / kikamaketzaket,kikamaketztuk / kikamaketzatuk,kikamaketztiwit / kikamaketzatiwit
,—,—,—,—
-kapania,kikapanij,kikapanijket,kikapanijtuk,kikapanijtiwit
-kakilia,kikakilij,kikakilijket,kikakilijtuk,kikakilijtiwit
-kakitia,kikakitij,kikakitijket,kikakitijtuk,kikakitijtiwit
kakisti,kakistik,kakistiket,kakistituk,kakistitiwit
-kashania,kikashanij,kikashanijket,kikashanijtuk,kikashanijtiwit
sesepuka,sesepukak,sesepukaket,sesepukatuk,sesepukatiwit
sekmiki,sekmikik,sekmikiket,sekmiktuk,sekmiktiwit
-sektia,kisektij,kisektijket,kisektijtuk,kisektijtiwit
-sejseltia,kisejseltij,kisejseltijket,kisejseltijtuk,kisejseltijtiwit
sewapawa,sewapawki / sewapajki,sewapawket / sewapajket,sewapawtuk / sewapajtuk,sewapawtiwit / sewapajtiwit
-senmana,kisenman(ki),kisenmanket,kisenmantuk,kisenmantiwit
senmani,senmanki / senmanik,senmanket / senmaniket,senmantuk,senmantiwit
-senmati,kisenmatki / kisenmatik,kisenmatket / kisenmatiket,kisenmattuk / kisenmatituk,kisenmattiwit / kisenmatitiwit
-senkawa,kisenkaw(ki) / kisenkaj(ki),kisenkawket / kisenkajket,kisenkawtuk / kisenkajtuk,kisenkawtiwit / kisenkajtiwit
senkawi,senkawik,senkawket / senkajket,senkawtuk / senkajtuk,senkawtiwit / senkajtiwit
-senkaki,kisenkak / kisenkakik,kisenkakket / kisenkakiket,kisenkaktuk,kisenkaktiwit
sentejku,sentejkuk,sentejkuket,sentejkutuk,sentejkutiwit
sentuka,sentukak,sentukaket,sentukatuk,sentukatiwit
-sentzakwa,kisentzak,kisentzakket,kisentzaktuk,kisentzaktiwit
-sepuwia,kisepuwij,kisepuwijket,kisepuwijtuk,kisepuwijtiwit
sepuwiya,sepuwishki / sepuwiyak / sepuwik,sepuwishket / sepuwiyaket / sepuwiket,sepuwishtuk / sepuwiyatuk / sepuwituk,sepuwishtiwit / sepuwiyatiwit / sepuwitiwit
-setilia,kisetilij,kisetilijket,kisetilijtuk,kisetilijtiwit
chachakwaka,chachakwakak,chachakwakaket,chachakwakatuk,chachakwakatiwit
-chachakwatza,kichachakwatzki / kichachakwatzak,kichachakwatzket / kichachakwatzaket,kichachakwatztuk / kichachakwatzatuk,kichachakwatztiwit / kichachakwatzatiwit
chachalani,chachalanki / chachalanik,chachalanket / chachalaniket,chachalantuk,chachalantiwit
-chachalatza,kichachalatzki / kichachalatzak,kichachalatzket / kichachalatzaket,kichachalatztuk / kichachalatzatuk,kichachalatztiwit / kichachalatzatiwit
chachapaka,chachapakak,chachapakaket,chachapakatuk,chachapakatiwit
chachapani,chachapanki / chachapanik,chachapanket / chachapaniket,chachapantuk,chachapantiwit
-chachapatza,kichachapatzki / kichachapatzak,kichachapatzket / kichachapatzaket,kichachapatztuk / kichachapatzatuk,kichachapatztiwit / kichachapatzatiwit
chawatia,chawatij,chawatijket,chawatijtuk,chawatijtiwit
-chanketza,kichanketzki / kichanketzak,kichanketzket / kichanketzaket,kichanketztuk / kichanketzatuk,kichanketztiwit / kichanketzatiwit
-chantia,kichantij,kichantijket,kichantijtuk,kichantijtiwit
-chapania,kichapanij,kichapanijket,kichapanijtuk,kichapanijtiwit
-chichikwepa,kichichikwep(ki) / kichichikwepak,kichichikwepket / kichichikwepaket,kichichikweptuk / kichichikwepatuk,kichichikweptiwit / kichichikwepatiwit
chichilama,chichilanki / chichilamak,chichilanket / chichilamaket,chichilantuk / chichilamatuk,chichilantiwit / chichilamatiwit
chichilewi,chichilewki / chichilejki,chichilewket / chichilejket,chichilewtuk / chichilejtuk,chichilewtiwit / chichilejtiwit
-chichilia,kichichilij,kichichilijket,kichichilijtuk,kichichilijtiwit
chichiliwi,chichiliwki / chichilijki,chichiliwket / chichilijket,chichiliwtuk / chichilijtuk,chichiliwtiwit / chichilijtiwit
chichilua,chichiluj,chichilujket,chichilujtuk,chichilujtiwit
chichinaka,chichinakak,chichinakaket,chichinakatuk,chichinakatiwit
-chichinatza,kichichinatzki / kichichinatzak,kichichinatzket / kichichinatzaket,kichichinatztuk / kichichinatzatuk,kichichinatztiwit / kichichinatzatiwit
chichipika,chichipikak,chichipikaket,chichipikatuk,chichipikatiwit
-chichipitza,kichichipitzki / kichichipitzak,kichichipitzket / kichichipitzaket,kichichipitztuk / kichichipitzatuk,kichichipitztiwit / kichichipitzatiwit
-chichitia,kichichitij,kichichitijket,kichichitijtuk,kichichitijtiwit
chichituka,chichitukak,chichitukaket,chichitukatuk,chichitukatiwit
-chichitutza,kichichitutzki / kichichitutzak,kichichitutzket / kichichitutzaket,kichichitutztuk / kichichitutzatuk,kichichitutztiwit / kichichitutzatiwit
-chikukaki,kichikukak / kichikukakik,kichikukakket / kichikukakiket,kichikukaktuk,kichikukaktiwit
-chikuchiwa,kichikuchiw(ki) / kichikuchij(ki),kichikuchiwket / kichikuchijket,kichikuchiwtuk / kichikuchijtuk,kichikuchiwtiwit / kichikuchijtiwit
chikukisa,chikukiski / chikukisak,chikukisket / chikukisaket,chikukistuk,chikukistiwit
chikutiya,chikutishki / chikutiyak / chikutik,chikutishket / chikutiyaket / chikutiket,chikutishtuk / chikutiyatuk / chikutituk,chikutishtiwit / chikutiyatiwit / chikutitiwit
chijchijkupi,chijchijkupki / chijchijkupik,chijchijkupket / chijchijkupiket,chijchijkuptuk,chijchijkuptiwit
-chijkulua,kichijkuluj,kichijkulujket,kichijkulujtuk,kichijkulujtiwit
-chilyutia,kichilyutij,kichilyutijket,kichilyutijtuk,kichilyutijtiwit
-chimaltia,kichimaltij,kichimaltijket,kichimaltijtuk,kichimaltijtiwit
-chinua,kichinuj,kichinujket,kichinujtuk,kichinujtiwit
chiyaltia,chiyaltij,chiyaltijket,chiyaltijtuk,chiyaltijtiwit
chuktia,chuktij,chuktijket,chuktijtuk,chuktijtiwit
-chulultia,kichulultij,kichulultijket,kichulultijtuk,kichulultijtiwit
-chupinia,kichupinij,kichupinijket,kichupinijtuk,kichupinijtiwit
chukilia,chukilij,chukilijket,chukilijtuk,chukilijtiwit
siwayulki,siwayulkik,siwayulkiket,siwayulkituk,siwayulkitiwit
-siyaltia,kisiyaltij,kisiyaltijket,kisiyaltijtuk,kisiyaltijtiwit
-kuanutza,kikuanutzki / kikuanutzak,kikuanutzket / kikuanutzaket,kikuanutztuk / kikuanutzatuk,kikuanutztiwit / kikuanutzatiwit
-kuchkawa,kikuchkaw(ki) / kikuchkaj(ki),kikuchkawket / kikuchkajket,kikuchkawtuk / kikuchkajtuk,kikuchkawtiwit / kikuchkajtiwit
-kuchwia,kikuchwij,kikuchwijket,kikuchwijtuk,kikuchwijtiwit
kuchijtewa,kuchijtewki / kuchijtejki,kuchijtewket / kuchijtejket,kuchijtewtuk / kuchijtejtuk,kuchijtewtiwit / kuchijtejtiwit
kuchiwani,kuchiwanki / kuchiwanik,kuchiwanket / kuchiwaniket,kuchiwantuk,kuchiwantiwit
-kuchitia,kikuchitij,kikuchitijket,kikuchitijtuk,kikuchitijtiwit
-kukua,kikukuj,kikukujket,kikukujtuk,kikukujtiwit
kukulaki,kukulakik,kukulakiket,kukulaktuk,kukulaktiwit
-kukulwia,kikukulwij,kikukulwijket,kikukulwijtuk,kikukulwijtiwit
-kukulia,kikukulij,kikukulijket,kikukulijtuk,kikukulijtiwit
kukuliwi,kukuliwki / kukulijki,kukuliwket / kukulijket,kukuliwtuk / kukulijtuk,kukuliwtiwit / kukulijtiwit
kukumuka,kukumukak,kukumukaket,kukumukatuk,kukumukatiwit
-kukumutza,kikukumutzki / kikukumutzak,kikukumutzket / kikukumutzaket,kikukumutztuk / kikukumutzatuk,kikukumutztiwit / kikukumutzatiwit
kukutuka,kukutukak,kukutukaket,kukutukatuk,kukutukatiwit
-kukututza,kikukututzki / kikukututzak,kikukututzket / kikukututzaket,kikukututztuk / kikukututzatuk,kikukututztiwit / kikukututzatiwit
kukushuka,kukushukak,kukushukaket,kukushukatuk,kukushukatiwit
-kukushutza,kikukushutzki / kikukushutzak,kikukushutzket / kikukushutzaket,kikukushutztuk / kikukushutzatuk,kikukushutztiwit / kikukushutzatiwit
kuwilia,kuwilij,kuwilijket,kuwilijtuk,kuwilijtiwit
-kumunia,kikumunij,kikumunijket,kikumunijtuk,kikumunijtiwit
kupiliwi,kupiliwik,kupiliwket / kupilijket,kupiliwtuk / kupilijtuk,kupiliwtiwit / kupilijtiwit
-kupinia,kikupinij,kikupinijket,kikupinijtuk,kikupinijtiwit
kutulua,kutuluj,kutulujket,kutulujtuk,kutulujtiwit
kututzawi,kututzawik,kututzawket / kututzajket,kututzawtuk / kututzajtuk,kututzawtiwit / kututzajtiwit
-kushunia,kikushunij,kikushunijket,kikushunijtuk,kikushunijtiwit
-kuyunia,kikuyunij,kikuyunijket,kikuyunijtuk,kikuyunijtiwit
kusawiya,kusawiski / kusawiyak / kusawik,kusawisket / kusawiyaket / kusawiket,kusawistuk / kusawiyatuk / kusawituk,kusawistiwit / kusawiyatiwit / kusawitiwit
-kusewa,kikusew(ki) / kikusej(ki),kikusewket / kikusejket,kikusewtuk / kikusejtuk,kikusewtiwit / kikusejtiwit
kusewi,kusewik,kusewket / kusejket,kusewtuk / kusejtuk,kusewtiwit / kusejtiwit
-kwachipawa,kikwachipaw(ki) / kikwachipaj(ki),kikwachipawket / kikwachipajket,kikwachipawtuk / kikwachipajtuk,kikwachipawtiwit / kikwachipajtiwit
kwakwalaka,kwakwalakak,kwakwalakaket,kwakwalakatuk,kwakwalakatiwit
-kwakwalatza,kikwakwalatzki / kikwakwalatzak,kikwakwalatzket / kikwakwalatzaket,kikwakwalatztuk / kikwakwalatzatuk,kikwakwalatztiwit / kikwakwalatzatiwit
kwajkwawti,kwajkwawtik,kwajkwawtiket,kwajkwawtituk,kwajkwawtitiwit
-kwajnamiki,kikwajnamik / kikwajnamikik,kikwajnamikket / kikwajnamikiket,kikwajnamiktuk,kikwajnamiktiwit
-kwawiwika,kikwawiwikak,kikwawiwikaket,kikwawiwikatuk,kikwawiwikatiwit
-kwawiteki,kikwawitek / kikwawitekik,kikwawitekket / kikwawitekiket,kikwawitektuk,kikwawitektiwit
-kwailpia,kikwailpij,kikwailpijket,kikwailpijtuk,kikwailpijtiwit
-kwalitta,kikwalittak,kikwalittaket,kikwalittatuk,kikwalittatiwit
-kwaltilia,kikwaltilij,kikwaltilijket,kikwaltilijtuk,kikwaltilijtiwit
-kwamelawa,kikwamelaw(ki) / kikwamelaj(ki),kikwamelawket / kikwamelajket,kikwamelawtuk / kikwamelajtuk,kikwamelawtiwit / kikwamelajtiwit
kwanwaki,kwanwakik,kwanwakiket,kwanwaktuk,kwanwaktiwit
-kwapajpaka,kikwapajpakak,kikwapajpakaket,kikwapajpakatuk,kikwapajpakatiwit
-kwapilua,kikwapiluj,kikwapilujket,kikwapilujtuk,kikwapilujtiwit
-kwatataka,kikwatatakak,kikwatatakaket,kikwatatakatuk,kikwatatakatiwit
kwatepewi,kwatepewik,kwatepewket / kwatepejket,kwatepewtuk / kwatepejtuk,kwatepewtiwit / kwatepejtiwit
-kwatapana,kikwatapan(ki),kikwatapanket,kikwatapantuk,kikwatapantiwit
-kwawwia,kikwawwij,kikwawwijket,kikwawwijtuk,kikwawwijtiwit
kwawpitza,kwawpitzki / kwawpitzak,kwawpitzket / kwawpitzaket,kwawpitztuk,kwawpitztiwit
kwawtema,kwawtenki / kwawtemak,kwawtenket / kwawtemaket,kwawtentuk / kwawtematuk,kwawtentiwit / kwawtematiwit
kwawtejku,kwawtejkuk,kwawtejkuket,kwawtejkutuk,kwawtejkutiwit
kwawshima,kwawshinki / kwawshimak,kwawshinket / kwawshimaket,kwawshintuk / kwawshimatuk,kwawshintiwit / kwawshimatiwit
-kwashelua,kikwasheluj,kikwashelujket,kikwashelujtuk,kikwashelujtiwit
-kwashelua,kikwasheluj,kikwashelujket,kikwashelujtuk,kikwashelujtiwit
kwayulkepi,kwayulkepki / kwayulkepik,kwayulkepket / kwayulkepiket,kwayulkeptuk,kwayulkeptiwit
kwechawaya,kwechawashki / kwechawayak / kwechawak,kwechawashket / kwechawayaket / kwechawaket,kwechawashtuk / kwechawayatuk / kwechawatuk,kwechawashtiwit / kwechawayatiwit / kwechawatiwit
-kwechawia,kikwechawij,kikwechawijket,kikwechawijtuk,kikwechawijtiwit
-kwechakia,kikwechakij,kikwechakijket,kikwechakijtuk,kikwechakijtiwit
-kwechua,kikwechuj,kikwechujket,kikwechujtuk,kikwechujtiwit
kwekweliwi,kwekweliwki / kwekwelijki,kwekweliwket / kwekwelijket,kwekweliwtuk / kwekwelijtuk,kwekweliwtiwit / kwekwelijtiwit
-kwekwelua,kikwekweluj,kikwekwelujket,kikwekwelujtuk,kikwekwelujtiwit
kwekwepuka,kwekwepukak,kwekwepukaket,kwekwepukatuk,kwekwepukatiwit
-kwekweputza,kikwekweputzki / kikwekweputzak,kikwekweputzket / kikwekweputzaket,kikwekweputztuk / kikwekweputzatuk,kikwekweputztiwit / kikwekweputzatiwit
kwekwetaka,kwekwetakak,kwekwetakaket,kwekwetakatuk,kwekwetakatiwit
-kwekwetatza,kikwekwetatzki / kikwekwetatzak,kikwekwetatzket / kikwekwetatzaket,kikwekwetatztuk / kikwekwetatzatuk,kikwekwetatztiwit / kikwekwetatzatiwit
-kwejchawia,kikwejchawij,kikwejchawijket,kikwejchawijtuk,kikwejchawijtiwit
-kwejchulwia,kikwejchulwij,kikwejchulwijket,kikwejchulwijtuk,kikwejchulwijtiwit
kwejsiwi,kwejsiwik,kwejsiwket / kwejsijket,kwejsiwtuk / kwejsijtuk,kwejsiwtiwit / kwejsijtiwit
-kwejmulua,kikwejmuluj,kikwejmulujket,kikwejmulujtuk,kikwejmulujtiwit
-kwejsua,kikwejsuj,kikwejsujket,kikwejsujtuk,kikwejsujtiwit
-kweitia,kikweitij,kikweitijket,kikweitijtuk,kikweitijtiwit
-kwepilia,kikwepilij,kikwepilijket,kikwepilijtuk,kikwepilijtiwit
-kwepunia,kikwepunij,kikwepunijket,kikwepunijtuk,kikwepunijtiwit
kwetawiya,kwetawishki / kwetawiyak / kwetawik,kwetawishket / kwetawiyaket / kwetawiket,kwetawishtuk / kwetawiyatuk / kwetawituk,kwetawishtiwit / kwetawiyatiwit / kwetawitiwit
-kwetania,kikwetanij,kikwetanijket,kikwetanijtuk,kikwetanijtiwit
-kwikatia,kikwikatij,kikwikatijket,kikwikatijtuk,kikwikatijtiwit
kwikwinaka,kwikwinakak,kwikwinakaket,kwikwinakatuk,kwikwinakatiwit
-kwijkwilia,kikwijkwilij,kikwijkwilijket,kikwijkwilijtuk,kikwijkwilijtiwit
-kwitiwetzi,kikwitiwetz(ki) / kikwitiwetzik,kikwitiwetzket / kikwitiwetziket,kikwitiwetztuk / kikwitiwetzituk,kikwitiwetztiwit / kikwitiwetzitiwit
-kwitakwepa,kikwitakwep(ki) / kikwitakwepak,kikwitakwepket / kikwitakwepaket,kikwitakweptuk / kikwitakwepatuk,kikwitakweptiwit / kikwitakwepatiwit
-kwitawia,kikwitawij,kikwitawijket,kikwitawijtuk,kikwitawijtiwit
kwitakisa,kwitakiski / kwitakisak,kwitakisket / kwitakisaket,kwitakistuk,kwitakistiwit
ekupina,ekupinki / ekupinak,ekupinket / ekupinaket,ekupintuk,ekupintiwit
-ejewita,kiejewitzki / kiejewitak,kiejewitzket / kiejewitaket,kiejewitztuk / kiejewitatuk,kiejewitztiwit / kiejewitatiwit
ewaltia,ewaltij,ewaltijket,ewaltijtuk,ewaltijtiwit
ewitia,ewitij,ewitijket,ewitijtuk,ewitijtiwit
-elsimia,kielsimij,kielsimijket,kielsimijtuk,kielsimijtiwit
-elewia,kielewij,kielewijket,kielewijtuk,kielewijtiwit
elimiki,elimikik,elimikiket,elimiktuk,elimiktiwit
eltelkisa,eltelkiski / eltelkisak,eltelkisket / eltelkisaket,eltelkistuk,eltelkistiwit
elmimiki,elmimikik,elmimikiket,elmimiktuk,elmimiktiwit
elmuyawi,elmuyawik,elmuyawket / elmuyajket,elmuyawtuk / elmuyajtuk,elmuyawtiwit / elmuyajtiwit
eltatasi,eltataski / eltatasik,eltatasket / eltatasiket,eltatastuk,eltatastiwit
-eswia,kieswij,kieswijket,kieswijtuk,kieswijtiwit
esmeya,esmeski / esmeyak / esmek,esmesket / esmeyaket / esmeket,esmestuk / esmeyatuk / esmetuk,esmestiwit / esmeyatiwit / esmetiwit
eskisa,eskiski / eskisak,eskisket / eskisaket,eskistuk,eskistiwit
estata,estatak,estataket,estatatuk,estatatiwit
-walitta,kiwalittak,kiwalittaket,kiwalittatuk,kiwalittatiwit
-waltujtuka,kiwaltujtukak,kiwaltujtukaket,kiwaltujtukatuk,kiwaltujtukatiwit
-wejkatatza,kiwejkatatzki / kiwejkatatzak,kiwejkatatzket / kiwejkatatzaket,kiwejkatatztuk / kiwejkatatzatuk,kiwejkatatztiwit / kiwejkatatzatiwit
wejweliwi,wejweliwki / wejwelijki,wejweliwket / wejwelijket,wejweliwtuk / wejwelijtuk,wejweliwtiwit / wejwelijtiwit
-wejwelua,kiwejweluj,kiwejwelujket,kiwejwelujtuk,kiwejwelujtiwit
-wejpulwia,kiwejpulwij,kiwejpulwijket,kiwejpulwijtuk,kiwejpulwijtiwit
-weichiwa,kiweichiw(ki) / kiweichij(ki),kiweichiwket / kiweichijket,kiweichiwtuk / kiweichijtuk,kiweichiwtiwit / kiweichijtiwit
-weilia,kiweilij,kiweilijket,kiweilijtuk,kiweilijtiwit
-weimati,kiweimatki / kiweimatik,kiweimatket / kiweimatiket,kiweimattuk / kiweimatituk,kiweimattiwit / kiweimatitiwit
-weineki,kiweinek / kiweinekik,kiweinekket / kiweinekiket,kiweinektuk,kiweinektiwit
weliliya,welilishki / weliliyak / welilik,welilishket / weliliyaket / weliliket,welilishtuk / weliliyatuk / welilituk,welilishtiwit / weliliyatiwit / welilitiwit
-welitta,kiwelittak,kiwelittaket,kiwelittatuk,kiwelittatiwit
-wenchiwa,kiwenchiw(ki) / kiwenchij(ki),kiwenchiwket / kiwenchijket,kiwenchiwtuk / kiwenchijtuk,kiwenchiwtiwit / kiwenchijtiwit
wetzkani,wetzkanki / wetzkanik,wetzkanket / wetzkaniket,wetzkantuk,wetzkantiwit
wetzitia,wetzitij,wetzitijket,wetzitijtuk,wetzitijtiwit
-wikaltia,kiwikaltij,kiwikaltijket,kiwikaltijtuk,kiwikaltijtiwit
-wijwiteki,kiwijwitek / kiwijwitekik,kiwijwitekket / kiwijwitekiket,kiwijwitektuk,kiwijwitektiwit
wijwituni,wijwitunki / wijwitunik,wijwitunket / wijwituniket,wijwituntuk,wijwituntiwit
wiwishka,wiwishkak,wiwishkaket,wiwishkatuk,wiwishkatiwit
wiwiyuka,wiwiyukak,wiwiyukaket,wiwiyukatuk,wiwiyukatiwit
wiptati,wiptatki / wiptatik,wiptatket / wiptatiket,wiptattuk / wiptatituk,wiptattiwit / wiptatitiwit
-wikilia,kiwikilij,kiwikilijket,kiwikilijtuk,kiwikilijtiwit
wituliwi,wituliwik,wituliwket / witulijket,wituliwtuk / witulijtuk,wituliwtiwit / witulijtiwit
-witulua,kiwituluj,kiwitulujket,kiwitulujtuk,kiwitulujtiwit
-witzwia,kiwitzwij,kiwitzwijket,kiwitzwijtuk,kiwitzwijtiwit
-wiyunia,kiwiyunij,kiwiyunijket,kiwiyunijtuk,kiwiyunijtiwit
-ikultia,kikultij,kikultijket,kikultijtuk,kikultijtiwit
ijkuyuka,ijkuyukak,ijkuyukaket,ijkuyukatuk,ijkuyukatiwit
ijkwinaka,ijkwinakak,ijkwinakaket,ijkwinakatuk,ijkwinakatiwit
-ijitta,kijittak,kijittaket,kijittatuk,kijittatiwit
ijiyukwi,ijiyukki,ijiyukket,ijiyuktuk,ijiyuktiwit
ijputuka,ijputukak,ijputukaket,ijputukatuk,ijputukatiwit
-ijtalwia,kijtalwij,kijtalwijket,kijtalwijtuk,kijtalwijtiwit
ijtechuka,ijtechukak,ijtechukaket,ijtechukatuk,ijtechukatiwit
-ijtania,kijtanij,kijtanijket,kijtanijtuk,kijtanijtiwit
-ijtutia,kijtutij,kijtutijket,kijtutijtuk,kijtutijtiwit
-ijtzumia,kijtzumij,kijtzumijket,kijtzumijtuk,kijtzumijtiwit
iwinti,iwintik,iwintiket,iwintituk,iwintitiwit
-ijshamia,kijshamij,kijshamijket,kijshamijtuk,kijshamijtiwit
ijsuliwi,ijsuliwik,ijsuliwket / ijsulijket,ijsuliwtuk / ijsulijtuk,ijsuliwtiwit / ijsulijtiwit
-ijsulua,kijsuluj,kijsulujket,kijsulujtuk,kijsulujtiwit
-imakasi,kimakas(ki) / kimakasik,kimakasket / kimakasiket,kimakastuk / kimakasituk,kimakastiwit / kimakasitiwit
ipanti,ipantik,ipantiket,ipantituk,ipantitiwit
-itunia,kitunij,kitunijket,kitunijtuk,kitunijtiwit
-itzmini,kitzmin(ki),kitzminket,kitzmintuk,kitzmintiwit
itztiya,itztishki / itztiyak / itztik,itztishket / itztiyaket / itztiket,itztishtuk / itztiyatuk / itztituk,itztishtiwit / itztiyatiwit / itztitiwit
-ishajsi,kishajsik,kishajsiket,kishajsituk,kishajsitiwit
ishchuka,ishchukak,ishchukaket,ishchukatuk,ishchukatiwit
ishkuchi,ishkuchki / ishkuchik,ishkuchket / ishkuchiket,ishkuchtuk,ishkuchtiwit
-ishkwepa,kishkwep(ki) / kishkwepak,kishkwepket / kishkwepaket,kishkweptuk / kishkwepatuk,kishkweptiwit / kishkwepatiwit
ishkwita,ishkwitki / ishkwitak,ishkwitket / ishkwitaket,ishkwittuk / ishkwitatuk,ishkwittiwit / ishkwitatiwit
-ishwia,kishwij,kishwijket,kishwijtuk,kishwijtiwit
-ishilkawa,kishilkaw(ki) / kishilkaj(ki),kishilkawket / kishilkajket,kishilkawtuk / kishilkajtuk,kishilkawtiwit / kishilkajtiwit
-ishilpitza,kishilpitzki / kishilpitzak,kishilpitzket / kishilpitzaket,kishilpitztuk / kishilpitzatuk,kishilpitztiwit / kishilpitzatiwit
-ishimati,kishimatki / kishimatik,kishimatket / kishimatiket,kishimattuk / kishimatituk,kishimattiwit / kishimatitiwit
-ishitia,kishitij,kishitijket,kishitijtuk,kishitijtiwit
-ishmana,kishman(ki),kishmanket,kishmantuk,kishmantiwit
ishmiki,ishmikik,ishmikiket,ishmiktuk,ishmiktiwit
ishkisa,ishkiski / ishkisak,ishkisket / ishkisaket,ishkistuk,ishkistiwit
-ishtia,kishtij,kishtijket,kishtijtuk,kishtijtiwit
-ishtzakwa,kishtzak,kishtzakket,kishtzaktuk,kishtzaktiwit
ishshuwa,ishshuwki / ishshujki,ishshuwket / ishshujket,ishshuwtuk / ishshujtuk,ishshuwtiwit / ishshujtiwit
-isawia,kisawij,kisawijket,kisawijtuk,kisawijtiwit
isuluka,isulukak,isulukaket,isulukatuk,isulukatiwit
istaya,istaski / istayak / istak,istasket / istayaket / istaket,istastuk / istayatuk / istatuk,istastiwit / istayatiwit / istatiwit
-makajkawa,kimakajkawki / kimakajkajki,kimakajkawket / kimakajkajket,kimakajkawtuk / kimakajkajtuk,kimakajkawtiwit / kimakajkajtiwit
-machilia,kimachilij,kimachilijket,kimachilijtuk,kimachilijtiwit
-machitia,kimachitij,kimachitijket,kimachitijtuk,kimachitijtiwit
-machtia,kimachtij,kimachtijket,kimachtijtuk,kimachtijtiwit
masiwi,masiwik,masiwket / masijket,masiwtuk / masijtuk,masiwtiwit / masijtiwit
-makutuna,kimakutun(ki),kimakutunket,kimakutuntuk,kimakutuntiwit
-maktia,kimaktij,kimaktijket,kimaktijtuk,kimaktijtiwit
makwawti,makwawtik,makwawtiket,makwawtituk,makwawtitiwit
-makwelua,kimakweluj,kimakwelujket,kimakwelujtuk,kimakwelujtiwit
-majpilwia,kimajpilwij,kimajpilwijket,kimajpilwijtuk,kimajpilwijtiwit
-majtekia,kimajtekij,kimajtekijket,kimajtekijtuk,kimajtekijtiwit
-mawilia,kimawilij,kimawilijket,kimawilijtuk,kimawilijtiwit
mawisti,mawistik,mawistiket,mawistituk,mawistitiwit
-majshitia,kimajshitij,kimajshitijket,kimajshitijtuk,kimajshitijtiwit
-mamalwia,kimamalwij,kimamalwijket,kimamalwijtuk,kimamalwijtiwit
-mamaltia,kimamaltij,kimamaltijket,kimamaltijtuk,kimamaltijtiwit
-mamapewa,kimamapew(ki) / kimamapej(ki),kimamapewket / kimamapejket,kimamapewtuk / kimamapejtuk,kimamapewtiwit / kimamapejtiwit
-mamelawa,kimamelaw(ki) / kimamelaj(ki),kimamelawket / kimamelajket,kimamelawtuk / kimamelajtuk,kimamelawtiwit / kimamelajtiwit
-manawia,kimanawij,kimanawijket,kimanawijtuk,kimanawijtiwit
maneliwi,maneliwik,maneliwket / manelijket,maneliwtuk / manelijtuk,maneliwtiwit / manelijtiwit
-manelua,kimaneluj,kimanelujket,kimanelujtuk,kimanelujtiwit
-manilia,kimanilij,kimanilijket,kimanilijtuk,kimanilijtiwit
-mapajpaka,kimapajpakak,kimapajpakaket,kimapajpakatuk,kimapajpakatiwit
-mapujpuwa,kimapujpuwki / kimapujpujki,kimapujpuwket / kimapujpujket,kimapujpuwtuk / kimapujpujtuk,kimapujpuwtiwit / kimapujpujtiwit
-makishta,kimakishtak,kimakishtaket,kimakishtatuk,kimakishtatiwit
-matelina,kimatelin(ki),kimatelinket,kimatelintuk,kimatelintiwit
-matilua,kimatiluj,kimatilujket,kimatilujtuk,kimatilujtiwit
-matiltia,kimatiltij,kimatiltijket,kimatiltijtuk,kimatiltijtiwit
matapitza,matapitzki / matapitzak,matapitzket / matapitzaket,matapitztuk,matapitztiwit
-mawtia,kimawtij,kimawtijket,kimawtijtuk,kimawtijtiwit
masuiwi,masuiwik,masuiwket / masuijket,masuiwtuk / masuijtuk,masuiwtiwit / masuijtiwit
-masulwia,kimasulwij,kimasulwijket,kimasulwijtuk,kimasulwijtiwit
-mekania,kimekanij,kimekanijket,kimekanijtuk,kimekanijtiwit
aakia,aakij,aakijket,aakijtuk,aakijtiwit
metztuna,metztunki / metztunak,metztunket / metztunaket,metztuntuk,metztuntiwit
miakiya,miakiyak / miakik,miakiyaket / miakiket,miakishtuk,miakishtiwit
-miktia,kimiktij,kimiktijket,kimiktijtuk,kimiktijtiwit
milchipawa,milchipawki / milchipajki,milchipawket / milchipajket,milchipawtuk / milchipajtuk,milchipawtiwit / milchipajtiwit
