verb,3s preterit,3pl preterit,3s perfect,3pl perfect
-teka,kitekak,kitekaket,kitekatuk,kitekatiwit
-tema,kiten(ki),kitenket,kitentuk,kitentiwit
temi,tenki / temik,tenket / temiket,tentuk / temituk,tentiwit / temitiwit
temu,temuk,temuket,temutuk,temutiwit
tena,tenki / tenak,tenket / tenaket,tentuk,tentiwit
-teki,kitek / kitekik,kitekket / kitekiket,kitektuk,kitektiwit
ta-i,taik,taiket,taituk,taitiwit
tami,tanki / tamik,tanket / tamiket,tantuk / tamituk,tantiwit / tamitiwit
ta-ma,tamaj,tamajket,tamajtuk,tamajtiwit
ta-pa,tapaj,tapajket,tapajtuk,tapajtiwit
tata,tatak,tataket,tatatuk,tatatiwit
tayi,tashki / tayik,tashket / tayiket,tashtuk,tashtiwit
-tasa,kitaski,kitasket,kitastuk,kitastiwit
tejku,tejkuk,tejkuket,tejkutuk,tejkutiwit
-tuma,kitun(ki),kitunket,kituntuk,kituntiwit
tumi,tunki / tumik,tunket / tumiket,tuntuk / tumituk,tuntiwit / tumitiwit
tuna,tunki / tunak,tunket / tunaket,tuntuk,tuntiwit
-tzakwa,kitzak,kitzakket,kitzaktuk,kitzaktiwit
tzakwi,tzakwik,tzakwiket,tzakwituk,tzakwitiwit
tzajtzi,tzajtzik,tzajtziket,tzajtzituk,tzajtzitiwit
-tzawa,kitzawki / kitzajki,kitzawket / kitzajket,kitzawtuk / kitzajtuk,kitzawtiwit / kitzajtiwit
-tzuma,kitzun(ki),kitzunket,kitzuntuk,kitzuntiwit
-tzupa,kitzupki,kitzupket,kitzuptuk,kitzuptiwit
tzupi,tzupik,tzupket,tzuptuk,tzuptiwit
-shima,kishin(ki),kishinket,kishintuk,kishintiwit
-shisha,kishishki / kishishak,kishishket / kishishaket,kishishtuk / kishishatuk,kishishtiwit / kishishatiwit
shuta,shutak,shutaket,shutatuk,shutatiwit
-shusha,kishushki / kishushak,kishushket / kishushaket,kishushtuk / kishushatuk,kishushtiwit / kishushatiwit
yawi,yajki,yajket,yajtuk,yajtiwit
yajya,yajyak,yajyaket,yajyatuk,yajyatiwit
yeku,yekuk,yekuket,yekutuk,yekutiwit
yuwa,yuwak,yuwaket,yuwatuk,yuwatiwit
yuli,yulik,yulket,yultuk,yultiwit
yulki,yulkik,yulkiket,yulkituk,yulkitiwit
-saka,kisakak,kisakaket,kisakatuk,kisakatiwit
sawa,sawki / sajki,sawket / sajket,sawtuk / sajtuk,sawtiwit / sajtiwit
-suwa,kisuwki / kisujki,kisuwket / kisujket,kisuwtuk / kisujtuk,kisuwtiwit / kisujtiwit
-sujsu,kisujsuj,kisujsujket,kisujsujtuk,kisujsujtiwit
-suma,kisun(ki),kisunket,kisuntuk,kisuntiwit
-ichkwa,kichkwak,kichkwaket,kichkwatuk,kichkwatiwit
-ijkali,kijkal,kijkalket,kijkaltuk,kijkaltiwit
-ijchiki,kijchik / kijchikik,kijchikket / kijchikiket,kijchiktuk,kijchiktiwit
-ijkwiya,kijkwishki / kijkwiyak,kijkwishket / kijkwiyaket,kijkwishtuk / kijkwiyatuk,kijkwishtiwit / kijkwiyatiwit
ijkiti,ijkitki / ijkitik,ijkitket / ijkitiket,ijkittuk / ijkitituk,ijkittiwit / ijkititiwit
-ijtzuma,kijtzun(ki),kijtzunket,kijtzuntuk,kijtzuntiwit
-ijshitza,kijshitzki,kijshitzket,kijshitztuk,kijshitztiwit
-ijyana,kijyan(ki),kijyanket,kijyantuk,kijyantiwit
ijyaya,ijyayak,ijyayaket,ijyayatuk,ijyayatiwit
-il/kawa,kilkaw / kilkaj,kilkawket / kilkajket,kilkawtuk / kilkajtuk,kilkawtiwit / kilkajtiwit
il/kawi,ilkawik,ilkawket / ilkajket,ilkawtuk / ilkajtuk,ilkawtiwit / ilkajtiwit
-il/china,kilchin(ki),kilchinket,kilchintuk,kilchintiwit
-ilwia,kilwij,kilwijket,kilwijtuk,kilwijtiwit
ilwilti,ilwiltik,ilwiltiket,ilwiltituk,ilwiltitiwit
-ilpia,kilpij,kilpijket,kilpijtuk,kilpijtiwit
-il/pitza,kilpitzki,kilpitzket,kilpitztuk,kilpitztiwit
-il/teki,kiltek / kiltekik,kiltekket / kiltekiket,kiltektuk,kiltektiwit
-itki,kitkik,kitkiket,kitkituk,kitkitiwit
-itta,kittak,kittaket,kittatuk,kittatiwit
-ishka,kishkak,kishkaket,kishkatuk,kishkatiwit
ishwi,ishwik,ishwiket,ishwituk,ishwitiwit
aaki,aakik,aakiket,aaktuk,aaktiwit
-ajajkwi,kiajajkwik,kiajajkwiket,kiajajkwituk,kiajajkwitiwit
ajami,ajanki / ajamik,ajanket / ajamiket,ajantuk / ajamituk,ajantiwit / ajamitiwit
